                  id                  |            name             
 1fd499c6-21ed-47ce-b8f9-00b70179ee1d | Siena
 de620924-4c04-4d81-b8da-717f4dc91353 | South Alabama
 70332d0f-57be-4c8f-84bf-b948c0a26431 | South Carolina
 e0736931-a252-4c9e-b587-c272ef9d130f | South Carolina State
 236d66e8-6b30-44e2-9731-b20f892f1564 | South Dakota
 35f42ef3-f956-4d53-802a-cc9da35f74cd | South Dakota State
 c44942f0-c8d4-49e0-9731-71d822923b8b | South Florida
 652fd7ab-0fdd-4e1b-9fe1-727ed09f491b | Southeastern Louisiana
 37dd8059-3121-4f81-97c7-f954121dd8c8 | Southern
 bf4102b2-0c60-40c0-9353-e3caf7d600db | Southern Illinois
 20becbd0-b91e-414a-ad59-c22dff523a71 | Southern Indiana
 b2f61e42-4e34-4fa2-ab62-f7f7da58b833 | Southern Miss
 f85e37e7-37e5-4685-9f56-42a83d5e50d9 | Southern Utah
 c5bf06fd-27b5-4b6e-a9c1-dfbaa785fab6 | St. Bonaventure
 e9ce4667-e093-4f66-a179-3fa4b5fbe77e | St. Francis Brooklyn
 f7c74bf8-e859-4dde-b5d3-7cc3ccab8d4a | St. John's
 b3b81641-01b2-4c89-a4d0-fd48dddaf96f | St. Thomas
 f21c70e8-f6ab-4f06-b935-20cd31131fce | Stanford
 71dbec83-1f59-4489-9a6d-5d150c92bc03 | Stephen F. Austin
 4e7c0356-93bf-4a2a-9d7c-d6ee91d3d943 | Stetson
 19b0866f-b6b2-47b6-8240-7ae4cd264b26 | Stonehill
 16dc2cc5-a8f2-4cb6-974e-56d2d15ab9b8 | Stony Brook
 3d92007f-f2a0-4266-a751-a043d56a23e3 | Syracuse
 546bacd2-f851-494f-8c01-ad9371daf6db | TCU
 6978b0bc-3c34-4821-adb6-98018369840d | Temple
 42cec989-c7f2-4d91-a0c2-6fec6ebb6bf8 | Tennessee
 5483a941-22ec-42fa-aca5-abe136c63f3b | Tennessee State
